atbeginning,continuous,varsinconjuncts
34.45991021,34.15752438,34.02948561
0.041051345,0.072928525,0.112556394
155.782186,901.6885676,901.6876303
30.95130581,30.79501447,30.85084195
0.033097092,0.052669119,0.076499103
33.15708222,33.11265383,33.23232465
31.99624942,31.85028407,31.91147344
0.121268385,0.284959014,0.200673896
0.125173159,0.284995102,0.203394897
15.51417192,901.7616699,16.97470731
901.5858565,901.6797708,901.5880914
901.6971844,901.6970257,901.6810623
901.6761287,901.685067,901.6821881
901.690354,901.5754305,901.6820533
101.208818,102.015603,100.855235
46.89256768,29.61489442,31.08739861
13.15515468,13.35455852,14.0228674
19.29772238,19.37509516,19.3867218
19.75431182,19.15072837,19.9794698
0.129267873,0.132830608,0.13272691
901.7220028,901.7298973,901.7190735
901.8017501,901.7927345,901.8188092
41.00261076,41.77521537,43.88770639
19.74131622,19.44698207,19.69259005
21.0816591,20.84748994,21.13716174
0.193232409,0.19305975,0.192831286
0.161194391,0.161226855,0.164782743
12.90487307,12.81033014,14.22511862
21.15789769,20.695939,21.4415555
17.98353078,18.01317284,18.05107065
18.11173129,18.08049916,17.99519411
19.71264625,19.42256092,19.61569675
16.83073415,16.88497724,16.78250582
19.21156626,19.21053966,19.07477739
18.47167464,18.0690125,18.32335771
0.677651968,0.681504636,0.717292478
0.685623905,0.678776502,0.713344718
0.513192561,0.509352098,0.636392237
0.501545308,0.501672713,0.556930204
0.669688543,0.661513372,1.073482063
1.366036054,1.354499009,1.449882836
0.513431359,0.588809801,0.565086945
0.473489539,0.465634739,0.509100812
1.36998019,1.349920272,1.445571689
0.189242708,0.185227408,0.192850955
0.337027624,0.331049524,0.340859235
0.361345086,0.356599824,0.384920882
0.345230338,0.339477722,0.346490909
0.337012468,0.333530686,0.352913569
0.32130288,0.319371282,0.324581743
0.985841675,0.977940909,0.99715444
0.245298502,0.241289988,0.252846788
1.369819952,1.922461834,2.017962504
0.881132651,2.442702316,2.382021367
1.55424208,1.877890269,1.809734161
1.049769065,1.040093104,1.145267278
0.225191638,0.225197688,0.244874011
0.453397894,0.442611059,0.472906384
0.248989398,0.245272446,0.260929343
0.613508939,0.594273004,0.632893454
0.069100556,0.070480214,0.072760143
0.725326762,0.714510215,0.769345669
1.264908322,1.100035388,1.18933101
0.709314192,0.708028045,0.733000845
0.729154843,0.720759437,0.757165005
0.937642827,0.941679431,0.993598551
1.373713427,1.32231224,1.677849606
0.993419483,0.981291987,1.225304255
29.2944598,29.13379606,29.29023314
19.36470545,19.24123453,19.35210685
1.089609866,1.077543522,1.089419837
1.048963953,1.032858546,1.05340324
19.32046591,19.15883867,19.34818239
1.021760683,1.005082511,1.021526399
1.00562856,0.992874684,1.013250002
0.961746175,0.961193672,0.965249807
29.23071032,29.19612431,29.48268048
50.17816098,50.24174012,50.56743399
0.947697255,0.953390747,0.961341336
1.357637617,1.341781334,1.369494905
28.99048525,29.18666704,29.28661921
1.017395037,1.001462194,1.013311961
0.056983891,0.056868831,0.060749774
0.06111061,0.060883834,0.072739524
0.056913065,0.052804215,0.056737448
0.056916315,0.05663773,0.060747995
0.057119171,0.056974345,0.056848146
0.055430398,0.056815935,0.056559254
0.069024118,0.068891434,0.068851386
0.068777993,0.069894831,0.088736008
0.065057052,0.064868932,0.08474339
901.6910012,901.6877674,901.5921112
901.6910867,901.5824584,901.6771446
901.6881473,901.6934657,901.6930035
901.5878836,901.6833329,901.6811123
901.6811117,901.6927665,901.6866992
901.6773677,901.6719486,901.6808015
901.6830057,901.6833456,901.5874354
901.6930007,901.5860718,901.6766384
901.6828964,901.6930781,901.6928618
901.5915723,901.6870491,901.6853421
901.6855204,901.6958458,901.6799384
901.6778884,901.6767353,901.6827671
901.6786586,901.6838268,901.5816091
901.6886124,901.5809213,901.6843332
901.69071,901.6933496,901.6937115
901.586611,901.6940527,901.6892196
16.30498007,16.3401834,30.08673356
44.43393568,44.45290327,49.92514174
9.203460795,9.231328492,12.2095564
14.01520302,14.11450816,16.10855359
32.16479735,32.83300007,120.9337575
58.28028108,59.16880339,142.9461701
26.29251506,26.59645945,128.0028708
45.34944654,46.37109893,52.13501437
901.6836045,901.6747185,901.6826931
50.97872759,51.74314949,80.62062613
901.6812333,901.6905938,901.6924987
577.7924279,593.8705207,687.6906143
105.0993195,107.1613083,230.6254347
774.0781855,760.5886592,890.5086913
901.5737643,901.6817627,901.6757164
9.808339771,9.842553956,10.05612059
21.30096181,21.49355097,22.1129285
7.802835603,7.749215094,8.410894807
26.82902167,26.7729549,27.96502853
25.3398901,25.42011305,26.7083635
76.14974289,75.11084442,81.80500004
6.688086782,6.668702827,7.374004333
56.27054951,55.75034287,57.94746625
29.33875437,29.39040455,31.51190499
11.68638125,11.66728652,12.55782649
31.41227908,31.8357167,34.9110516
101.3523934,101.5461415,107.6316877
84.14301977,84.99133461,91.64052377
151.1249356,150.1924126,160.4079448
12.53150139,12.37593368,14.88502803
159.8236616,159.4515119,160.1228425
23.53816656,23.49882148,25.64748469
29.73880514,29.95844755,32.79185258
34.01001968,34.84507048,36.75794351
11.66482436,11.77699279,13.1983281
3.031457762,3.046430059,3.06690539
1.710283167,1.729884922,1.805501402
1.746412684,1.753734085,1.814037745
3.636272526,3.662654361,3.774542226
2.675458675,2.698478734,2.778692614
1.492226881,1.507770578,1.583727323
2.450860518,2.478747815,2.610646752
11.23404291,11.32282523,11.53869691
1.782602519,1.809782965,1.943023601
2.375014194,2.394275951,2.519577955
2.154933382,2.162062076,2.322342135
4.232339659,4.275404084,4.435807982
3.847855373,3.870880918,4.15886255
2.290768148,2.326317514,2.466410649
19.28750727,19.14500257,19.94001421
10.2365223,10.21941855,10.99655595
8.42298964,8.510776727,8.879128978
8.302879428,8.374656092,12.61097723
6.609901079,6.632733094,7.237900889
5.149390443,5.149991986,6.301098483
12.89858957,12.88472153,19.06342673
24.73525666,25.35127568,25.84396291
25.79997406,25.37401566,26.14383877
120.6764425,120.7664221,122.5418882
101.1200001,100.9109781,102.4087637
,,
#REF!,#REF!,#REF!
