iDQ 1.0,dCAQE 4.0.1,iProver v3.1 (CASC-27),HQS 2,DQBDD 1.1
0.011220656,0.005597705,0.064322122,0.020751205,0.022194704
0.013961964,0.007993738,0.072196242,0.021417593,0.022399588
0.014069426,0.013124698,0.080714504,0.021533871,0.022679276
0.014541041,0.01371986,0.091062385,0.021560038,0.022709798
0.016322147,0.013728449,0.094754589,0.021566565,0.022894689
0.017030499,0.014479727,0.095054915,0.025401846,0.023092712
0.017455837,0.015240833,0.102153208,0.025685452,0.023132639
0.017537672,0.015569373,0.103929644,0.029629831,0.023205385
0.017671262,0.015753074,0.106821222,0.029634113,0.023343187
0.017695529,0.01618087,0.107020773,0.030662712,0.024672525
0.018217197,0.016215506,0.108339572,0.033623431,0.025543403
0.019441866,0.016779844,0.108733161,0.033659481,0.025772063
0.01957663,0.017031449,0.122677586,0.033663402,0.025801186
0.019928722,0.017060805,0.123861479,0.033695215,0.025919522
0.020185489,0.017312049,0.125453892,0.034509771,0.026029355
0.020920095,0.017401487,0.128393136,0.037453699,0.026041421
0.021154256,0.017811469,0.128668051,0.037537312,0.026047387
0.021222251,0.017950727,0.129967725,0.037578877,0.026064527
0.021389387,0.017998071,0.135035055,0.037616902,0.026073005
0.022250341,0.018244145,0.136903299,0.037629011,0.0262
0.022312905,0.01832731,0.138557959,0.03763695,0.026230729
0.022496343,0.018350993,0.148572576,0.037645466,0.026235586
0.02274324,0.018382466,0.158142625,0.037649771,0.02624071
0.022891796,0.018463601,0.161098057,0.037662898,0.026265976
0.023947241,0.018569497,0.164862255,0.037674085,0.026311241
0.023967662,0.018744943,0.170264484,0.037676121,0.026352356
0.024052636,0.018853482,0.188843107,0.037699024,0.026372685
0.024305223,0.018997055,0.189066902,0.037706239,0.026379762
0.024975045,0.019148673,0.190391145,0.037713102,0.026385775
0.025546934,0.019342936,0.201602134,0.037743224,0.026390436
0.026094793,0.019460708,0.204144789,0.03775753,0.026392812
0.026109761,0.019785712,0.206734524,0.038394934,0.02653863
0.026368519,0.019895048,0.208897197,0.041382358,0.026570404
0.026411116,0.019977227,0.210186467,0.041510897,0.0265781
0.026931464,0.020425709,0.219843681,0.041568382,0.026581247
0.027016065,0.020527977,0.229185944,0.041578234,0.026610665
0.027721987,0.020533422,0.229719197,0.041589893,0.026611933
0.027741619,0.020534422,0.231608572,0.041591321,0.026617888
0.027920368,0.020753902,0.237158983,0.041596481,0.026622772
0.028432178,0.020767012,0.241933905,0.041650622,0.02662293
0.028510138,0.020772653,0.242103715,0.041660347,0.026637113
0.028520359,0.020787934,0.249436374,0.041676913,0.026641772
0.02884473,0.020988412,0.250480551,0.041687391,0.026643916
0.029377815,0.021059051,0.26572758,0.041823935,0.026645288
0.029884251,0.021087284,0.265750821,0.042198702,0.026657717
0.030081589,0.021124426,0.273072864,0.043300011,0.026661879
0.03010307,0.021213191,0.279579367,0.045188308,0.026665362
0.03047609,0.021286001,0.283558423,0.045361639,0.026671688
0.030645204,0.021341127,0.284041438,0.045463079,0.026677187
0.030725987,0.02134766,0.284236302,0.045596755,0.026684278
0.030872645,0.021351628,0.29094448,0.045624094,0.026699769
0.031419033,0.021380669,0.291866387,0.04562843,0.026706333
0.031817675,0.021504003,0.299379092,0.045639857,0.026743282
0.032216746,0.021628079,0.302350578,0.045787741,0.026746826
0.032247727,0.021644717,0.306815825,0.046411197,0.026749739
0.03248837,0.021673965,0.311888147,0.04643017,0.026768022
0.033130338,0.021725806,0.31984367,0.047021504,0.026774151
0.03342132,0.021759685,0.321047115,0.049374118,0.026787236
0.033873186,0.021838133,0.324071359,0.049548228,0.026790721
0.034090261,0.022137409,0.345201645,0.04955568,0.026798795
0.034678265,0.022219064,0.35090118,0.049591948,0.026802366
0.03473026,0.022248123,0.355698591,0.049648924,0.026839189
0.035172195,0.022269627,0.359267113,0.049674053,0.026842517
0.035450016,0.022271079,0.362980877,0.049677871,0.026867737
0.036142131,0.022308013,0.367096236,0.0497123,0.026893983
0.036189003,0.022310455,0.383798527,0.050124783,0.026913258
0.036278608,0.022409975,0.384298893,0.050227907,0.026924855
0.036342632,0.022421171,0.385268449,0.050257574,0.026930511
0.036806774,0.022474954,0.386910601,0.050349344,0.026934678
0.037039038,0.022485318,0.389149314,0.050430024,0.026944293
0.03725026,0.022706181,0.39464285,0.050454032,0.026952408
0.037275058,0.022791198,0.397828821,0.050570925,0.026969306
0.037443963,0.022907271,0.397837732,0.050766416,0.026981652
0.037745903,0.022996427,0.398407233,0.05138046,0.026994547
0.037900251,0.023096114,0.420289313,0.053216356,0.026999715
0.038154289,0.023125509,0.420449783,0.053403081,0.027001505
0.038160708,0.023138878,0.424904526,0.053581702,0.027040429
0.038169548,0.023242481,0.435525747,0.053624686,0.027095157
0.038856012,0.02340661,0.447290328,0.053696592,0.027121269
0.040073125,0.023458065,0.456971467,0.053972956,0.027140639
0.040642914,0.023471855,0.463182779,0.054116627,0.027156225
0.041258601,0.023807417,0.466709066,0.054175565,0.027181252
0.043322017,0.023926142,0.470082224,0.054658869,0.027183536
0.043325165,0.023957042,0.474976092,0.05515885,0.027189763
0.043919324,0.024011374,0.475486207,0.05524702,0.027206608
0.044105428,0.024101804,0.475957683,0.055444441,0.027258618
0.044158779,0.024370775,0.481169817,0.057290069,0.027359235
0.044289,0.02456318,0.483520987,0.057336754,0.027378841
0.044475927,0.024646949,0.508501394,0.057357757,0.027441778
0.044885698,0.024661591,0.511590774,0.057512337,0.027646553
0.044922249,0.024695912,0.51623294,0.057592352,0.028100238
0.04613363,0.024772318,0.521856526,0.057736878,0.029266165
0.046457475,0.025191508,0.524735561,0.058126025,0.029270325
0.047251539,0.025196662,0.528752538,0.058170488,0.029599854
0.048221117,0.025231895,0.53283615,0.058789243,0.029704832
0.048442629,0.025333058,0.543296409,0.058985928,0.029840983
0.048451786,0.025381588,0.604480045,0.061215577,0.030025626
0.048817004,0.025432982,0.605876404,0.061326826,0.030036984
0.049741657,0.025604979,0.614076341,0.061397604,0.030099462
0.050374056,0.025847907,0.614833593,0.061483688,0.030148727
