HQS 2,DQBDD 1.1,,
900,19.46874156,,
900,21.76595127,,
0.18185512,0.194301943,,
0.157978122,0.170170837,,
12.71953491,900,,
10.24300132,900,,
900,19.05325539,,
0.061961159,0.074756035,,
900,19.55732522,,
900,21.90578233,,
0.181872099,0.198810497,,
0.157832746,0.17042214,,
59.35122712,900,,
23.17903479,900,,
3.288827511,900,,
32.64587937,900,,
6.73048482,900,,
47.66084459,900,,
32.7778916,900,,
229.7574052,900,,
0.522332087,900,,
15.63325864,900,,
44.46710764,900,,
59.81420358,900,,
32.83796846,900,,
32.41793969,900,,
233.3463901,900,,
0.522709706,900,,
15.84555692,900,,
45.29085122,900,,
59.94965273,900,,
7.68300545,900,,
32.78184832,900,,
227.2259427,900,,
0.525724516,900,,
15.75316836,900,,
44.83485692,900,,
59.84605733,900,,
26.7414062,900,,
32.58995755,900,,
84.72051832,900,,
0.370006381,0.380688807,,
230.441861,900,,
0.510165806,900,,
15.65937534,900,,
44.60549918,900,,
0.101618535,0.346526702,,
0.137597383,0.486451679,,
0.453903439,0.338445317,,
1.674730002,0.342574387,,
0.237821883,0.326286831,,
0.197845906,0.259532678,,
0.654134614,0.863506798,,
1.13801105,0.986593709,,
0.261846135,0.307264477,,
0.489978366,0.194766764,,
0.690187528,0.24362714,,
0.213827482,0.40728367,,
0.061777239,0.073776968,,
0.566077444,0.190750192,,
0.189847862,0.158929341,,
0.646004419,0.208939281,,
4.12003568,0.454723545,,
1.058167555,0.442173685,,
2.370915435,0.443050896,,
0.734195302,0.200529974,,
0.22181056,0.414942497,,
0.061771534,0.07123965,,
1.574685309,0.727614888,,
10.23104479,0.715239693,,
1.5305849,0.711310244,,
900,1.259676972,,
900,1.251784945,,
0.345890764,0.707240331,,
17.07399787,0.723202126,,
0.22170272,0.403441467,,
0.061561483,0.074163666,,
1.818725238,1.002798183,,
7.066545111,0.923068793,,
6.102022882,0.959046055,,
4.148631031,1.244010446,,
5.681697857,0.990670193,,
6.037953285,0.95068879,,
0.562278722,0.567235788,,
0.454239015,0.691427722,,
0.518259045,0.515081707,,
27.88258557,0.486737872,,
499.7537111,0.499467496,,
47.18295877,0.507350231,,
1.142360112,0.806960941,,
24.5710807,0.763194452,,
0.417959504,0.626349801,,
0.287247612,0.595375212,,
0.297931968,0.45852666,,
1.574882122,1.227163596,,
0.79823121,1.062945667,,
1.462683483,1.354958659,,
22.58616156,0.520208044,,
3.532323685,0.726360326,,
0.18180196,0.593431713,,
0.413874564,0.627607718,,
900,0.592632794,,
0.298016344,0.462862598,,
0.87864054,1.255683806,,
1.138638659,1.03555098,,
1.262751582,1.344113152,,
900,0.521970471,,
2.231623147,0.699310949,,
0.182134696,0.582931549,,
0.158015179,0.326761797,,
0.094150917,0.103028423,,
0.061945725,0.072784571,,
0.070141416,0.084802366,,
0.105664275,0.336302633,,
0.158117587,0.450755201,,
0.129982207,0.334937676,,
3.900551485,1.431491724,,
4.793087967,1.387762099,,
3.984641012,1.532124461,,
900,0.86294235,,
2.098874064,0.987837435,,
2.543184916,0.787345219,,
900,6.218879719,,
0.353896235,1.05584977,,
900,10.06698597,,
3.944390654,1.472048501,,
4.828644846,1.343841461,,
3.984473514,1.535301706,,
900,0.863551725,,
2.074966845,0.983021449,,
2.511192375,0.807195349,,
900,6.350511247,,
0.357965225,1.038630643,,
900,10.10539741,,
0.454116542,0.599349737,,
0.310217824,0.46651771,,
900,0.691948021,,
30.81653312,0.647115582,,
5.641858115,0.510727004,,
0.671907364,0.819152252,,
1.402712067,0.819119224,,
0.722407936,0.932093933,,
0.161832203,0.339079207,,
0.093769898,0.109156748,,
0.061793644,0.073723264,,
0.07374066,0.083077208,,
0.425978481,0.237838573,,
0.053765236,0.064649695,,
900,401.0276381,,
900,188.798892,,
900,2.352863666,,
900,6.523969405,,
900,7.061626763,,
3.5442893,1.38013784,,
900,400.0902345,,
900,189.5928794,,
900,2.363852809,,
900,6.562412224,,
900,7.071493403,,
3.496282564,1.387141494,,
427.0691856,900,,
0.117420927,0.124349997,,
0.534069389,0.586880769,,
0.093683149,0.098423839,,
0.778198701,0.602830938,,
0.494027956,0.590756047,,
0.233888014,0.422710794,,
0.161674565,0.334726085,,
0.093724063,0.106415298,,
0.061744928,0.070494755,,
0.073726229,0.082462594,,
0.417932755,0.242569402,,
0.054060649,0.066476945,,
900,179.7480346,,
900,2.244329717,,
900,73.3928136,,
900,1.428039139,,
900,1.428010149,,
4.680562027,10.22601893,,
6.933373245,5.803141978,,
4.62035425,5.422925459,,
0.309892829,0.423324407,,
0.942295122,1.043741635,,
0.281745412,0.423270417,,
6.678360246,30.93398689,,
900,78.90474591,,
900,48.17891339,,
0.160052106,0.335315679,,
0.094464057,0.107050836,,
0.06178509,0.070885343,,
0.073865628,0.08315003,,
0.425968438,0.243324977,,
0.053747121,0.063083275,,
900,2.691991982,,
900,1.795560354,,
900,2.684198712,,
900,568.9676413,,
3.436147583,0.526475512,,
4.569031665,50.04354506,,
0.938008386,0.906980998,,
2.031069161,0.554645325,,
0.517978352,0.510760911,,
900,180.6133235,,
900,30.26105239,,
900,7.086065775,,
0.23384069,0.338368136,,
0.093709981,0.106441941,,
0.061781583,0.07028094,,
0.073133013,0.082361213,,
0.425910112,0.24635814,,
0.053761109,0.066382274,,
28.58208905,29.01608532,,
18.35898764,19.218665,,
48.56433287,49.81167323,,
0.361213015,1.039689603,,
0.381456181,1.067143727,,
0.713687823,1.012211143,,
28.3982894,29.00526461,,
18.37483817,19.02918269,,
48.60139763,49.97722031,,
0.325499193,1.023846687,,
0.361366875,0.951281894,,
0.365324078,0.923850348,,
1.028677753,1.324286105,,
28.42217099,28.90048778,,
18.57456081,19.00938861,,
48.17565213,49.84260596,,
0.365380358,1.034548941,,
0.365279288,0.94645014,,
0.369201066,0.93538317,,
1.056452553,1.330969027,,
28.42188279,29.03217775,,
18.24316311,18.95104039,,
48.4770081,50.17993084,,
0.365308843,1.035459095,,
0.038271375,0.051716642,,
0.040823707,0.051565864,,
0.041555303,0.058254732,,
0.109171902,0.055197591,,
0.067195761,0.063277927,,
0.057509779,0.058978138,,
0.04292914,0.05932337,,
0.057964814,0.05731684,,
0.066329627,0.064070362,,
0.054375703,0.073166756,,
0.038643094,0.059967669,,
0.053383722,0.050311327,,
0.069096581,0.063296895,,
0.054614417,0.060132075,,
0.03866653,0.076255314,,
0.042660734,0.06173193,,
0.042701798,0.045440629,,
0.035479505,0.045193135,,
0.062026929,0.054092883,,
0.070231671,0.066068587,,
0.050539811,0.057926899,,
0.04134069,0.058068216,,
0.042588022,0.042307873,,
0.034168972,0.045385733,,
0.057981272,0.053870785,,
0.078630777,0.061945294,,
0.055200172,0.057832241,,
0.042842811,0.058303633,,
0.03841222,0.058237265,,
0.042446592,0.061564326,,
0.06995028,0.066156824,,
0.087023363,0.069913751,,
0.046916978,0.061624084,,
0.322006176,0.069979909,,
0.235127338,0.068710797,,
0.590643905,0.06587253,,
0.039586042,0.058428325,,
0.069959354,0.066354563,,
0.085340014,0.07200076,,
0.048282737,0.062237964,,
0.368237296,0.069641536,,
0.38289519,0.069807248,,
0.5347816,0.066283738,,
0.038865048,0.05791143,,
0.041212384,0.058072383,,
0.058605396,0.066048879,,
0.081606925,0.069983975,,
0.051267339,0.060515091,,
0.38929205,0.070266932,,
1.478366679,0.078691037,,
0.903591882,0.067321854,,
0.304831984,900,,
0.391955589,0.055425906,,
0.707120997,900,,
0.04342152,0.047944959,,
0.050974648,0.052218905,,
0.049754329,0.057023925,,
0.906552696,0.109204241,,
1.094208182,0.109310314,,
1.146236796,0.108238837,,
37.03666959,0.106062331,,
23.27039763,0.10603219,,
35.85989012,0.106008195,,
0.041494631,0.053400069,,
0.049473634,0.051820679,,
0.045524473,0.054490354,,
0.305043093,900,,
0.337818951,900,,
0.321727827,900,,
0.32576729,900,,
0.046080541,0.050126739,,
0.049021671,0.047300178,,
0.050108121,0.05527952,,
0.723663469,0.804412457,,
0.521911887,0.578622729,,
