dCAQE 4.0.1,DQBDD 1.1
0.068031348,0.055054303
0.057100853,0.053334236
0.042543581,0.055037446
0.027534808,0.050085147
0.030294759,0.04243204
0.047597624,0.059355316
0.039947508,0.046100849
0.022485318,0.030148727
0.025604979,0.045937598
0.060136893,0.061997013
0.044617183,0.047481475
0.071070734,0.05930357
0.053596375,0.054162443
0.03950231,0.042015931
0.052418345,0.054038739
0.041052721,0.050357497
0.051562586,0.041974167
0.005597705,0.043081241
0.099571508,0.049878402
0.032814566,0.050295223
0.04441904,0.058150588
0.040928659,0.057877426
0.051000245,0.057485762
0.043568364,0.049632086
0.040945106,0.050620011
0.060144789,0.050925485
0.052785408,0.049747934
0.116377354,0.049915439
0.047661355,0.061577332
0.043961592,0.046308937
0.046504845,0.050018366
0.035525695,0.050447775
0.037558891,0.058217074
0.043442342,0.049527564
0.025333058,0.046274499
0.036455671,0.053286213
0.026805418,0.041779875
0.033099597,0.053849218
0.05596973,0.058378115
0.02716371,0.038407483
0.034057084,0.054152716
0.047318467,0.039090323
0.037812332,0.058533241
0.041988098,0.042486448
0.030872028,0.049773424
0.034190654,0.053605609
0.05544883,0.044792715
0.044427511,0.067287551
0.038607871,0.041764677
0.258465025,0.057581515
0.061752227,0.04744259
0.061753905,0.058963692
0.036402303,0.04795304
0.048091851,0.058191817
0.017998071,0.034317162
0.053285885,0.070181256
0.026583966,0.042672704
0.022219064,0.03515312
0.030271412,0.047382701
0.037460246,0.051190695
0.061026962,0.058571539
0.038843048,0.050415655
0.049946958,0.046662509
0.036731723,0.034699355
0.028063708,0.041618893
0.026858337,0.041151495
0.039152626,0.040954799
0.018569497,0.036123203
0.048105896,0.039419648
0.048659948,0.051764931
0.033196974,0.059668884
0.022248123,0.042408227
0.047921989,0.055505562
0.052697575,0.062482729
0.033812175,0.04393509
0.021759685,0.055080604
0.031954164,0.04911618
0.037394031,0.057440331
0.036215089,0.060893765
0.039745515,0.05592092
0.026939681,0.043590943
0.021286001,0.040358909
0.068556279,0.062444907
0.026583012,0.04503239
0.02609146,0.054878151
0.058199878,0.06781432
0.046803249,0.061959185
0.02134766,0.041266302
0.024661591,0.032886667
0.062155797,0.073609419
0.034866542,0.046648026
0.019895048,0.041855385
0.045454747,0.068798882
0.019460708,0.036473142
0.024011374,0.045303056
0.047151607,0.048927559
0.030988089,0.066197994
0.039020091,0.058592176
0.032864041,0.049047053
0.034378135,0.071340601
0.022474954,0.053108281
0.038376025,0.076361407
0.040948904,0.079965119
0.015240833,0.051274945
0.037263432,0.053300215
0.04042973,0.055542258
0.022310455,0.04831951
0.060097179,0.068285313
0.028532416,0.040954101
0.03643194,0.051182276
0.057791499,0.066997387
0.366878585,0.052198699
0.256925487,0.055282001
0.046858393,0.055141411
0.057015975,0.064425255
0.02672255,0.046932077
0.06220664,0.048069442
0.037950507,0.054113324
0.050387871,0.047435327
0.022907271,0.035584659
1.334866118,0.087733405
0.028062721,0.051371243
0.051672806,0.067420589
0.096708758,0.05132547
0.064299189,0.055568654
0.056583087,0.06710674
0.048135238,0.04779468
0.080714854,0.04607949
0.041298472,0.041210201
0.049062708,0.057652976
0.049070791,0.056578122
0.114640043,0.065610601
0.024772318,0.042409156
0.028207751,0.041747396
1.607010623,0.058712467
0.220839482,0.091262013
0.021644717,0.045647944
0.064257921,0.067054233
0.858312004,0.05455076
0.482533416,0.062162111
0.073196455,0.059778069
0.068871915,0.042217035
0.074146654,0.058906834
0.039292892,0.051189398
0.09209017,0.086217138
0.038104454,0.056073174
0.298035769,0.058921398
0.177370132,0.087259733
0.04506379,0.050885689
0.059985104,0.057023629
0.348538435,0.054635035
0.086622623,0.066808398
0.03298398,0.051196619
0.041022792,0.053663726
0.202161865,0.04857783
0.031045779,0.047364877
0.079513178,0.049173821
0.059728475,0.047126878
0.132260681,0.062420509
0.047601715,0.053928153
0.224134745,0.054097554
0.04984103,0.054560939
0.119829887,0.053815058
0.02848344,0.071287493
0.058185852,0.055813723
0.115787559,0.056311716
0.114566976,0.060810178
0.214130827,0.09488512
0.030094411,0.03989519
0.038144843,0.057703738
0.038117219,0.063550811
0.051644131,0.060321299
0.063695281,0.050931564
0.051393897,0.066434705
0.057945512,0.066364049
0.038264745,0.05316802
0.037014638,0.054417486
1.636270905,0.048474296
0.12847458,0.148527011
0.044611012,0.052124627
0.088501046,0.091564782
0.030127485,0.052318548
0.032781209,0.052724185
0.045003955,0.049760455
0.097574368,0.056377081
0.031615722,0.053892448
0.063691381,0.069167992
0.266188947,0.070703932
0.025893358,0.04699799
0.078250766,0.061257257
0.038233808,0.050490123
0.03935472,0.057704681
0.073533902,0.055318484
0.042416411,0.057401143
