HQS 2,DQBDD 1.1
3.124152796,1.659892792
9.043856913,4.417930756
27.13047963,2.420607862
2.523184944,1.668193283
2.647689858,1.631797001
11.79890924,1.833318932
16.36391459,46.73889067
8.035597086,3.324300723
10.75784894,3.056455228
48.64558177,2.067501793
900,2.225008478
900,10.05324684
25.82867314,2.215646621
18.14681923,5.710755444
104.2029408,2.144108423
900,2.617118458
900,20.99884143
900,2.549295901
900,2.357755095
339.1100391,3.9333735
900,4.67335392
559.0103427,3.93848597
900,2.726841285
900,1.995399884
900,10.76785138
900,1.99136633
900,255.1303292
1.45848881,4.741258984
3.785045116,9.151334794
4.994388482,42.91708911
18.36304706,41.20378851
286.9681799,165.6275152
0.613548925,0.58652914
0.728222481,0.530271271
0.497364857,0.490686131
0.497356868,0.502722519
1.103557578,0.647570679
0.817690613,0.595104616
0.801443401,0.53518521
0.494914982,0.510998673
1.292793312,0.579267957
0.509445206,0.512576388
4.027305364,3.141313558
6.497990203,0.583345406
15.78087997,0.549704922
1.510142771,0.554470638
2.392343772,0.534254573
37.38900198,34.87959891
1.994698947,0.558838266
5.244974109,0.474916492
900,0.835509307
18.49851809,0.478921597
900,0.553238868
1.75860614,0.471397181
1.346868506,0.483279054
2.771146862,0.686961131
900,0.470621475
1.540241677,0.475197235
2.606481256,0.923149929
900,0.433302628
2.454497962,0.561717647
4.983341916,0.682306486
900,0.982651198
1.409992513,0.545710536
2.502949604,0.509150672
1.894434803,0.469545796
17.86599185,0.595260236
2.263010928,0.807189358
7.181186129,0.733473643
900,1.121987349
3.219343059,0.546051102
900,0.508065961
900,0.617707064
200.8782946,0.684520505
35.10980803,0.768840529
900,1.468427855
900,5.848903002
257.65429,13.00097238
740.6480541,5.044032559
900,1.078955693
900,1.182197967
900,1.124153249
900,4.118274562
900,0.897515469
84.43966031,0.574698376
900,2.322175078
900,0.954278971
900,0.582788633
3.091455184,0.728592318
3.435816101,0.536776963
3.403846047,0.557527379
3.123658444,0.800216503
71.86164215,10.62273926
17.50166525,0.450107872
87.50763998,6.272010308
7.926413355,0.417848492
25.17155779,11.48341366
33.30762237,0.323281929
7.759900113,0.502252696
45.58828827,1.163751997
163.6399881,0.619646822
28.93485435,0.385836929
28.12571362,0.314998532
31.10787903,0.4659952
55.26575929,0.678209968
273.3016218,0.63458924
329.4432565,0.610624638
173.9124841,0.425247551
900,1.023694944
134.2741154,0.529106714
900,0.496032707
900,0.840271942
115.4772569,0.733383743
900,0.565273108
900,0.921723871
900,1.885308125
900,0.931817067
900,1.066238756
900,1.111147768
900,1.99408133
900,2.564733153
900,3.093902602
900,1.686983747
