simple-atbeginning.dqbf19,simple-continuous.dqbf19,simple-varsinconjuncts.dqbf19,tree-simpleelimination-atbeginning.dqbf19,tree-simpleelimination-continuous.dqbf19,tree-simpleelimination-varsinconjuncts.dqbf19,tree-fullelimination-atbeginning.dqbf19,tree-fullelimination-continuous.dqbf19,tree-fullelimination-varsinconjuncts.dqbf19
,,,21.15789769,23.49882148,25.64748469,25.61516395,25.50371489,29.31716222
,,,21.30096181,25.35127568,25.84396291,26.29194443,26.47573215,30.43854764
,,,23.53816656,25.37401566,26.14383877,26.90834412,27.02011241,30.63039455
,,,24.73525666,25.42011305,26.7083635,29.30912008,29.19001467,31.15075424
,,,25.3398901,26.59645945,27.96502853,29.33322099,29.26531498,31.79507254
,,,25.79997406,26.7729549,29.28661921,29.341222,29.29421555,32.35190918
,,,26.29251506,29.13379606,29.29023314,29.59915811,29.41411803,33.02844089
,,,26.82902167,29.18666704,29.48268048,29.85829383,29.6383643,34.0972081
,,,28.99048525,29.19612431,30.08673356,31.92092848,29.67013768,35.31023717
,,,29.23071032,29.39040455,31.08739861,32.42054481,31.59939784,37.27456847
,,,29.2944598,29.61489442,31.51190499,34.67402061,32.51247137,40.52464452
,,,29.33875437,29.95844755,32.79185258,38.42458966,34.83387986,50.30147042
,,,29.73880514,31.8357167,34.9110516,42.59304539,37.84453119,50.88219363
,,,31.41227908,32.83300007,34.95449115,43.97296361,42.0112334,50.96128646
,,,32.16479735,34.84507048,36.75794351,45.73026944,44.66904011,59.0749458
,,,34.01001968,41.77521537,43.88770639,48.41597531,46.02234132,79.2904554
,,,41.00261076,44.45290327,49.92514174,51.06564008,50.62176948,81.29126443
,,,44.43393568,46.37109893,50.56743399,51.44251872,51.52258687,92.22001759
,,,45.34944654,50.24174012,52.13501437,55.76210256,56.34584112,107.3035788
,,,46.89256768,51.74314949,55.07558116,59.09209345,58.84301498,110.0376014
,,,50.17816098,55.75034287,57.94746625,76.53276038,75.5345218,111.9393916
,,,50.97872759,59.16880339,80.62062613,86.27229517,85.41653605,122.3951036
,,,56.27054951,75.11084442,81.80500004,101.2150266,101.3590375,126.6951055
,,,58.28028108,84.99133461,91.64052377,108.282707,108.3678419,142.6565269
,,,76.14974289,101.5461415,107.6316877,150.5431952,151.9557363,159.6785066
,,,84.14301977,107.1613083,120.9337575,157.2781733,154.4143456,164.3577492
,,,101.3523934,150.1924126,128.0028708,599.7843019,586.5405819,194.2831134
,,,105.0993195,159.4515119,142.9461701,782.1445089,783.2646164,232.9869845
,,,151.1249356,202.9047625,160.1228425,,,692.4241612
,,,155.782186,323.9238869,160.4079448,,,
,,,159.8236616,593.8705207,230.6254347,,,
,,,577.7924279,760.5886592,687.6906143,,,
,,,774.0781855,,890.5086913,,,
