iDQ 1.0,dCAQE 4.0.1,iProver v3.1 (CASC-27),HQS 2
86.43413449,139.2456726,283.3739256,88.52760996
90.46582428,84.51784461,122.179393,98.08324569
92.84470866,100.772778,662.8585391,549.0235478
102.5770697,900,900,900
102.8409558,855.4291891,651.5953879,434.5295582
150.9767906,147.4923167,424.6356479,900
422.2337739,900,446.6273187,305.4348004
741.0316192,394.420284,376.0426359,900
756.8391876,419.4900985,293.2609305,900
900,900,900,743.5959883
900,900,900,811.51708
