HQS 2,DQBDD 1.1
10.86129378,4.218069469
1.142552321,1.668162912
1.202686625,1.976405069
8.319555406,1.628088492
14.25168299,1.447895913
2.847667933,1.431954144
2.923685135,1.727889771
38.33400968,2.343016334
8.803751762,2.924878168
0.697910896,0.694069686
76.64940961,2.024298666
32.78216255,1.411402058
1.390727076,1.392108011
7.623280435,3.296221034
7.022943803,2.423981665
1.190641986,1.400151225
0.830447726,0.853819979
4.008646948,1.219333554
8.914938272,16.83144512
10.09996445,9.659279278
1.958670117,1.984537304
6.497202214,4.29760284
1.362175937,0.923489493
2.632001908,1.107874673
1.03795148,0.93261402
7.167904904,1.495889089
19.68494162,4.997546293
28.29067429,5.922978633
70.49720516,13.18535018
7.78378872,1.84059086
0.854383449,0.863881065
1.120554737,2.428131037
8.003338565,1.815569972
1.375012914,243.0940114
0.75855638,0.767315801
4.489540226,1.595386016
40.37520305,18.46755449
0.838429695,0.846930567
10.8541472,1.547407493
0.913943339,0.902342069
297.597132,1.532850168
3.568234752,2.175653144
11.06268194,19.42479166
8.968011118,11.52082881
11.91666287,6.779303031
0.76222619,0.758999389
4.201250051,2.528514558
39.35771442,2.660444282
9.209575778,5.279204635
44.67164392,3.070194568
9.735190402,2.36397284
7.414408778,1.731661197
4.399958163,4.637909685
31.42018563,1.96688088
3.008158711,1.315252149
18.85250669,7.812155782
8.964682393,2.551984757
0.83441164,0.830894714
9.905353947,3.597798507
85.57593684,6.806485582
11.81761021,1.319175042
1.321515284,0.899124427
12.51047665,12.08007092
4.829113843,2.474883684
12.94411816,2.123783732
8.552044802,6.052716794
0.32578609,0.334837178
12.76725127,19.11669656
6.034068723,1.863789812
2.367554369,1.496253025
5.232687906,1.531719357
2.398594274,1.340719597
7.202989892,2.360149842
5.869834364,3.096650449
3.884734135,1.73959708
41.01624004,1.439873804
7.530845338,1.47170097
3.792875473,1.455349248
6.946993088,4.585256695
10.33326524,1.695080284
3.960627905,2.15210127
48.37886726,2.232052962
35.11239072,7.175782901
12.66680011,3.017595462
24.59213596,18.44835277
48.72924429,2.179943908
8.896589905,6.498877334
1.108213419,2.303836883
3.820838662,1.383336978
13.09087678,6.231263753
1.108354742,0.97083678
101.7874414,6.422970676
4.460978122,1.279532452
3.747827132,1.427663427
8.557841465,3.327184925
30.21660962,1.695362721
51.85658598,1.880055406
14.44653011,3.232798069
8.082673268,1.263011823
79.62597805,2.706835987
0.813992984,5.988934094
3.863974664,1.259438128
13.81006935,1.957391288
268.2604434,1.43919373
10.11566002,1.755439756
54.64645916,2.860899939
8.808005311,1.962861203
7.895642439,1.381509024
56.09469776,1.914885213
143.8892546,8.003295413
11.54618191,1.319347171
11.79053318,3.993799233
13.79843809,41.31736989
25.20049946,1.953909103
4.252088078,1.539220451
